cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
braganca,8,3,LGBMRegressor,6,4.8110380746020756,0
itapipoca,8,3,LGBMRegressor,6,4.834824264293783,0
tucurui,8,3,LGBMRegressor,6,4.821854435292288,0
queimados,8,3,LGBMRegressor,6,4.735460695315367,0
japeri,8,3,LGBMRegressor,6,4.711172856682679,0
abaetetuba,8,3,LGBMRegressor,6,4.757412498052993,0
itaguai,8,3,LGBMRegressor,6,4.667686703796469,0
itacoatiara,8,3,LGBMRegressor,6,4.825072432980409,0
barcarena,8,3,LGBMRegressor,6,4.929146971433213,0
sao-felix-do-xingu,8,3,LGBMRegressor,6,4.407959541517868,0
rio-branco,8,3,LGBMRegressor,6,27.645466014286473,0
tailandia,8,3,LGBMRegressor,6,4.829433636221268,0
sao-joao-de-meriti,8,3,LGBMRegressor,6,5.918719687548275,0
macapa,8,3,LGBMRegressor,6,3.6470445986999214,0
acailandia,8,3,LGBMRegressor,6,4.955607155909309,0
alagoinhas,8,3,LGBMRegressor,6,4.491359498715718,0
itaborai,8,3,LGBMRegressor,6,4.555570358009305,0
ananindeua,8,3,LGBMRegressor,6,4.846728791801671,0
castanhal,8,3,LGBMRegressor,6,4.702113231432242,0
belford-roxo,8,3,LGBMRegressor,6,4.170277877600067,0
mage,8,3,LGBMRegressor,6,4.486431125907391,0
maracanau,8,3,LGBMRegressor,6,4.076515680417457,0
santarem,8,3,LGBMRegressor,6,4.3579736306732775,0
altamira,8,3,LGBMRegressor,6,6.588106591910159,0
manaus,8,3,LGBMRegressor,6,9.395873879240293,0
nova-iguacu,8,3,LGBMRegressor,6,4.623560101049591,0
colatina,8,3,LGBMRegressor,6,13.067355189150806,0
paragominas,8,3,LGBMRegressor,6,4.94208758544961,0
marica,8,3,LGBMRegressor,6,3.87350763425253,0
cameta,8,3,LGBMRegressor,6,4.7618356691289465,0
porto-seguro,8,3,LGBMRegressor,6,4.043866202096393,0
imperatriz,8,3,LGBMRegressor,6,4.2423833335630885,0
mesquita,8,3,LGBMRegressor,6,4.888622556715191,0
rio-de-janeiro,8,3,LGBMRegressor,6,95.4616460670444,0
duque-de-caxias,8,3,LGBMRegressor,6,10.688983697659506,0
belem,8,3,LGBMRegressor,6,4.430217612590629,0
barreiras,8,3,LGBMRegressor,6,24.02897734296142,0
marituba,8,3,LGBMRegressor,6,4.895077976576207,0
parnaiba,8,3,LGBMRegressor,6,4.219401541595267,0
nilopolis,8,3,LGBMRegressor,6,4.77601461137059,0
itaituba,8,3,LGBMRegressor,6,4.345304724232247,0
patos,8,3,LGBMRegressor,6,4.7243332692541875,0
santana,8,3,LGBMRegressor,6,4.713179572336198,0
maraba,8,3,LGBMRegressor,6,4.581656953206891,0
